BEST CASE: 
Comparisons: 1
Time: 1000.0 nanoseconds 
 
WORST CASE: 
Leftmost Target: 
  Loop: 8
  Time: 2100.0 nanoseconds 
Rightmost Target: 
  Loop: 9
  Time: 1500.0 nanoseconds 
Left Beside Middle: 
  Loop: 9
  Time: 1500.0 nanoseconds 
Right Beside Middle: 
  Loop: 8
  Time: 1700.0 nanoseconds 
 
AVERAGE CASE: 
Index 258 (target 584358628): Comparisons = 8, Time = 400 ns
Index 259 (target 586792382): Comparisons = 9, Time = 400 ns
Index 260 (target 589142969): Comparisons = 7, Time = 400 ns
Index 261 (target 593879107): Comparisons = 9, Time = 400 ns
Index 262 (target 594897955): Comparisons = 8, Time = 300 ns
Index 263 (target 594967665): Comparisons = 9, Time = 400 ns
Index 264 (target 595697792): Comparisons = 6, Time = 300 ns
Index 265 (target 599524078): Comparisons = 8, Time = 300 ns
Index 266 (target 601003243): Comparisons = 9, Time = 400 ns
Index 267 (target 601843035): Comparisons = 7, Time = 300 ns
Index 268 (target 606191871): Comparisons = 9, Time = 400 ns
Index 269 (target 606929533): Comparisons = 8, Time = 300 ns
Index 270 (target 615561129): Comparisons = 9, Time = 600 ns
Index 271 (target 617754438): Comparisons = 3, Time = 100 ns
Index 272 (target 618335127): Comparisons = 8, Time = 700 ns
Index 273 (target 621576612): Comparisons = 9, Time = 400 ns
Index 274 (target 622086606): Comparisons = 7, Time = 300 ns
Index 275 (target 622647485): Comparisons = 8, Time = 400 ns
Index 276 (target 630859361): Comparisons = 9, Time = 400 ns
Index 277 (target 633700371): Comparisons = 6, Time = 300 ns
Index 278 (target 635659268): Comparisons = 8, Time = 400 ns
Index 279 (target 636704561): Comparisons = 9, Time = 300 ns
Index 280 (target 638565374): Comparisons = 7, Time = 600 ns
Index 281 (target 639212559): Comparisons = 9, Time = 400 ns
Index 282 (target 642393150): Comparisons = 8, Time = 300 ns
Index 283 (target 642984755): Comparisons = 9, Time = 400 ns
Index 284 (target 644507921): Comparisons = 5, Time = 200 ns
Index 285 (target 645473238): Comparisons = 8, Time = 500 ns
Index 286 (target 645862960): Comparisons = 9, Time = 400 ns
Index 287 (target 650705926): Comparisons = 7, Time = 300 ns
Index 288 (target 654692900): Comparisons = 9, Time = 500 ns
Index 289 (target 656382041): Comparisons = 8, Time = 400 ns
Index 290 (target 656672374): Comparisons = 9, Time = 400 ns
Index 291 (target 657767314): Comparisons = 6, Time = 200 ns
Index 292 (target 659771748): Comparisons = 8, Time = 300 ns
Index 293 (target 668436770): Comparisons = 9, Time = 400 ns
Index 294 (target 678366342): Comparisons = 7, Time = 300 ns
Index 295 (target 679871507): Comparisons = 9, Time = 400 ns
Index 296 (target 681704627): Comparisons = 8, Time = 300 ns
Index 297 (target 681884601): Comparisons = 9, Time = 400 ns
Index 298 (target 687255655): Comparisons = 4, Time = 200 ns
Index 299 (target 687351939): Comparisons = 8, Time = 700 ns
Index 300 (target 688111385): Comparisons = 9, Time = 500 ns
Index 301 (target 690690578): Comparisons = 7, Time = 300 ns
Index 302 (target 692862836): Comparisons = 9, Time = 500 ns
Index 303 (target 694321629): Comparisons = 8, Time = 300 ns
Index 304 (target 697752502): Comparisons = 9, Time = 300 ns
Index 305 (target 699945487): Comparisons = 6, Time = 300 ns
